Name,Name PGP
Aristotle,Aristotle
Asad,Asad
Ašer b. Yeḥiʾel,Asher b. Yeḥiʾel
Asher the proselyte,Asher the proselyte
Athanasius of Alexandria,Athanasius of Alexandria
Avicenna,Avicenna
Avicenna (Ibn Sīnā),Avicenna (Ibn Sīnā)
Avon b. Ṣedaqa,Avon b. Ṣedaqa
Avon b. Ṣedaqa al-Maḡribī,Avon b. Ṣedaqa al-Maghribī
Badr al-Dīn Muẓaffar,Badr al-Dīn Muẓaffar
Baebius Italicus,Baebius Italicus
Bahya b. Ašer,Bahya b. Asher
Baḥya Ibn Paquda,Baḥya Ibn Paquda
Baḥya ibn Paqūdah,Baḥya ibn Paqūdah
Baqā (cantor),Baqā (cantor)
Barakāt,Barakāt
Barakāt al-Kohen,Barakāt al-Kohen
Barakāt b. [...],Barakāt b. [...]
Barakāt b. Hibatullah al-Jaʿfarī,Barakāt b. Hibatullah al-Jaʿfarī
Barakāt the teacher,Barakāt the teacher
Barhūn b. Isaac,Barhūn b. Yiṣḥaq
Barhūn b. Isaac Taherti,Barhūn b. Yiṣḥaq Taherti
Barhūn b. Isaac Tahertī,Barhūn b. Yiṣḥaq Tahertī
Barhun b. Mūsā,Barhun b. Mūsā
Barhūn b. Mūsā,Barhūn b. Mūsā
Barhūn b. Mūsā b. Barhūn,Barhūn b. Mūsā b. Barhūn
Barhūn b. Mūsā Taherti,Barhūn b. Mūsā Taherti
Barhūn b. Mūsā Tahertī,Barhūn b. Mūsā Tahertī
Barhūn b. Mūsā Tahirtī,Barhūn b. Mūsā Tahirtī
Barhūn b. Ṣāliḥ Taherti,Barhūn b. Ṣāliḥ Taherti
Barhūn Levi b. Isḥāq,Barhūn Levi b. Isḥāq
Baruḵ b. Isaac,Barukh b. Yiṣḥaq
"Baṣīr the bell-maker, wife of","Baṣīr the bell-maker, wife of"
Bayān,Bayān
"Ben Naḥman the cantor, widow of","Ben Naḥman the cantor, widow of"
Benjamin,Benjamin
Benjamin b. Qalyūsa al-Ḡazwī,Benjamin b. Qalyūsa al-Ghazwī
Beraḵot,Berakhot
Beraḵot b. Šemarya,Berakhot b. Shemarya
Bint Ibn al-Šišī (widow of Abū l-Faraj the doctor),Bint Ibn al-Shishī (widow of Abū l-Faraj the doctor)
Bunayya b. Mūsā,Bunayya b. Mūsā
Bunayya b. Mūsā the perfumer,Bunayya b. Mūsā the perfumer
Bundār b. Maḍmūn,Bundār b. Maḍmūn
Cantor of Malīj,Cantor of Malīj
Da’ūd in Qalyūb,Da’ūd in Qalyūb
Dan the proselyte,Dan the proselyte
Daniel al-Qūmisī,Dani’el al-Qūmisī
Daniel b. Aaron,Dani’el b. Aharon
Daniel b. Ḥisday,Dani’el b. Ḥisday
Daniel b. Moses al-Qumasi,Dani’el b. Moshe al-Qumasi
Daniel b. Moses al-Qūmisī,Dani’el b. Moshe al-Qūmisī
Daniel b. Ṭoviyya,Dani’el b. Ṭoviyya
Daniel b. Yaʿīš,Dani’el b. Yaʿīsh
Daniel b. ʿAzariah,Dani’el b. ʿAzarya
Daniel b. ʿAzariah (Gaʾon),Dani’el b. ʿAzarya (Gaʾon)
Daniel b. ʿAzariah (Nasi),Dani’el b. ʿAzarya (Nasi)
Daniel b. ʿAzarya,Dani’el b. ʿAzarya
Daniel the Babylonian b. Saʿadya,Dani’el the Babylonian b. Saʿadya
Ḏārā,Dhārā
David,David
David (son of the Nasi),David (son of the Nasi)
David b. Abraham,David b. Avraham
David b. Abraham al-Fāsi,David b. Avraham al-Fāsi
David b. Abraham al-Fāsī,David b. Avraham al-Fāsī
David b. Abraham al-Fāṣī,David b. Avraham al-Fāṣī
David b. Abraham Maimonides,David b. Avraham Maimonides
David b. Benjamin,David b.Binyamin
David b. Daniel,David b. Dani’el
David b. Daniel b. David b. Zakkay b. Joseph b. Zakkay b. Azarya b. Solomon b. Josiah (Babylonian nasi),David b. Dani’el b. David b. Zakkay b. Yosef b. Zakkay b. Azarya b. Shelomo b. Yoshiyyahu (Babylonian nasi)
David b. Daniel Nasi,David b. Dani’el Nasi
David b. ha-Nasi,David b. ha-Nasi
