Name,Name PGP
Moses ha-Kohen,Moshe ha-Kohen
Moses ha-Levi b. Šalom ha-Levi Gaʾon,Moshe ha-Levi b. Shalom ha-Levi Gaʾon
Moses ha-Sefardi,Moshe ha-Sefardi
Moses Ḥarād,Moshe Ḥarād
Moses ibn Ezra,Moshe ibn ʿEzra
Moses ibn Tibbon,Moshe ibn Tibbon
Moses Maimonides,Moshe Maimonides
Moses Moḥe,Moshe Moḥe
Moses the judge b. Šemarya,Moshe the judge b. Shemarya
Moses the schoolmaster,Moshe the schoolmaster
Moses גליפאפה,Moshe גליפאפה
Moses הלועז,Moshe הלועז
"Moses, son in law of Donna Sarah and Solomon the scribe, husband of Rebecca bat Solomon the scribe","Moshe, son in law of Donna Sara and Shelomo the scribe, husband of Rivqa bat Shelomo the scribe"
Mubārak b. Ḥananya,Mubārak b. Ḥananya
Mubārak b. Isaac,Mubārak b. Yiṣḥaq
Mubārak b. Mūsā b. Ibrahim,Mubārak b. Mūsā b. Ibrahim
Mubārak b. Nathaniel,Mubārak b. Nataniel
Mubārak b. Ṣedaqa b. Sukrī,Mubārak b. Ṣedaqa b. Sukrī
Mubārak ha-Levi b. Joseph,Mubārak ha-Levi b. Yosef
Mubaššir ha-Levi b. Nissi,Mubashshir ha-Levi b. Nissi
Muḥammad Ibn Sīrīn,Muḥammad Ibn Sīrīn
Muḥāsin,Muḥāsin
Muḵtār b. Jacob,Mukhtār b. Yaʿaqov
Munajjā Muqaddasī,Munajjā Muqaddasī
Muqaddisī,Muqaddisī
Murjī,Murjī
Mūsā al-Kohen,Mūsā al-Kohen
Mūsā b. Abī l-Ḥayy (Mūsā b. Ismāʿīl Tahertī),Mūsā b. Abī l-Ḥayy (Mūsā b. Ismāʿīl Tahertī)
Mūsā b. Abū l-Ḥay,Mūsā b. Abū l-Ḥay
Mūsā b. Abū l-Ḥayy (Mūsā b. Ismāʿīl Tahertī),Mūsā b. Abū l-Ḥayy (Mūsā b. Ismāʿīl Tahertī)
Mūsā b. Abū ʿAlī b. Ṣulḥ,Mūsā b. Abū ʿAlī b. Ṣulḥ
Mūsā b. Hibat Allah al-Yahūdī ‘the doctor’,Mūsā b. Hibat Allah al-Yahūdī ‘the doctor’
Mūsā b. Isaac al-Safāqūṣī,Mūsā b. Yiṣḥaq al-Safāqūṣī
Mūsā b. Isaac b. Nissim al-ʿĀbid,Mūsā b. Yiṣḥaq b. Nissim al-ʿĀbid
Mūsā b. Isaac b. Nissim Ibn al-ʿĀbid,Mūsā b. Yiṣḥaq b. Nissim Ibn al-ʿĀbid
Mūsā b. Jacob,Mūsā b. Yaʿaqov
Mūsā b. Jacob al-Miṣrī,Mūsā b. Yaʿaqov al-Miṣrī
Mūsā b. Joseph,Mūsā b. Yosef
Mūsā b. Joseph b. Nissim,Mūsā b. Yosef b. Nissim
Mūsā b. Nissim,Mūsā b. Nissim
Mūsā b. Yaḥyā al-Majjānī,Mūsā b. Yaḥyā al-Majjānī
Mūsā b. Yaḥyā Majjānī,Mūsā b. Yaḥyā Majjānī
Mūsā b. ʿImrān,Mūsā b. ʿImrān
Mūsā Ibn al-Laḵtūš,Mūsā Ibn al-Lakhtūsh
"Mūsā, nephew of Elijah the judge","Mūsā, nephew of Eliyyahu the judge"
"Mūsā, son-in-law of Abū Zikrī b. Nathaniel b. Hillel","Mūsā, son-in-law of Abū Zikrī b. Nataniel b. Hillel"
Musāfir,Musāfir
Musāfir b. Wahb,Musāfir b. Wahb
Musallaḥ b. Ṣāliḥ,Musallaḥ b. Ṣāliḥ
Musallam,Musallam
Musallam b. Barakāt b. Isḥāq,Musallam b. Barakāt b. Isḥāq
Nagid Abraham b. ʿAṭāʾ,Nagid Avraham b. ʿAṭāʾ
Nagid Samuel b. Ḥananya,Nagid Shemuʾel b. Ḥananya
Naḥman,Naḥman
Nahray b. Nathan,Nahray b. Natan
Nahray b. Nissim,Nahray b. Nissim
Nahray b. Sahl,Nahray b. Sahl
Naḥum b. Manṣūr,Naḥum b. Manṣūr
Najma bat Moses Perdonel,Najma bat Moshe Perdonel
Nathan,Natan
Nathan b. Abraham,Natan b. Avraham
Nathan b. Isaac,Natan b. Yiṣḥaq
Nathan b. Judah,Natan b. Yehuda
Nathan b. Nahray,Natan b. Nahray
Nathan b. Samuel,Natan b. Shemuʾel
Nathan b. Samuel (judge),Natan b. Shemuʾel (judge)
Nathan b. Samuel (teacher),Natan b. Shemuʾel (teacher)
Nathan b. Samuel he-Ḥaver,Natan b. Shemuʾel he-Ḥaver
Nathan b. Solomon,Natan b. Shelomo
Nathan b. Solomon the Cantor b. Yaʿir,Natan b. Shelomo the Cantor b. Yaʿir
Nathan b. Yeḥiʾel,Natan b. Yeḥiʾel
Nathan ha-Kohen,Natan ha-Kohen
Nathan ha-Kohen b. Joseph,Natan ha-Kohen b. Yosef
Nathan ha-Kohen b. Mevoraḵ,Natan ha-Kohen b. Mevorakh
Nathan ha-Kohen b. Samuel,Natan ha-Kohen b. Shemuʾel
Nathan ha-Kohen b. Solomon,Natan ha-Kohen b. Shelomo
Nathan ha-Kohen he-Ḥaver b. Isaiah,Natan ha-Kohen he-Ḥaver b. Yeshaʿyahu
Nathan ha-Levi,Natan ha-Levi
Nathan Shapira,Natan Shapira
Nathan the judge b. Elijah ha-Kohen,Natan the judge b. Eliyyahu ha-Kohen
"Nathan, b. Abraham","Natan, b. Avraham"
Nathaniel b. Elʿazar,Nataniel b. Elʿazar
Nehemiah ha-Kohen (Gaʾon),Neḥemya ha-Kohen (Gaʾon)
Nehemiah ha-Kohen Gaʾon,Neḥemya ha-Kohen Gaʾon
Nicolaus Damascenus,Nicolaus Damascenus
Nissi b. Samuel,Nissi b. Shemuʾel
Nissim,Nissim
Nissim b. [...],Nissim b. [...]
Nissim b. Abraham,Nissim b. Avraham
Nissim b. Berachiah,Nissim b. Berachiah
Nissim b. Bereḵya,Nissim b. Berekhya
Nissim b. Ḥalfon,Nissim b. Ḥalfon
Nissim b. Ḥalfon b. Benaya,Nissim b. Ḥalfon b. Benaya
Nissim b. Isaac,Nissim b. Yiṣḥaq
Nissim b. Isaac Ibn al-Sahl,Nissim b. Yiṣḥaq Ibn al-Sahl
Nissim b. Isaac Taherti,Nissim b. Yiṣḥaq Taherti
Nissim b. Jacob,Nissim b. Yaʿaqov
Nissim b. Jacob (Gaʾon),Nissim b. Yaʿaqov (Gaʾon)
Nissim b. Salāma,Nissim b. Salāma
Nissim Gaʾon,Nissim Gaʾon
Nissim M[...],Nissim M[...]
Obadiah,Ovadya
Obadiah (Norman proselyte),Ovadya (Norman proselyte)
Obadiah (the proselyte),Ovadya (the proselyte)
Obadiah b. Abraham b. Moses Maimonides,Ovadya b. Avraham b. Moshe Maimonides
Obadiah Kahana,Ovadya Kahana
Ohev b. Abraham,Ohev b. Avraham
Origen,Origen
Paltiʾel b. Ephraim he-Ḥaver,Paltiʾel b. Efrayim he-Ḥaver
Peraḥya,Peraḥya
Peraḥya b. Joseph,Peraḥya b. Yosef
Peraḥya b. Joseph (nephew of Abraham Ibn Yijū),Peraḥya b. Yosef (nephew of Avraham Ibn Yijū)
Peraḥya b. Joseph b. Yijū,Peraḥya b. Yosef b. Yijū
Peraḥya b. Yijū,Peraḥya b. Yijū
Pinḥas al-Ṣāīḡ,Pinḥas al-Ṣāīgh
Pinḥas ha-Kohen,Pinḥas ha-Kohen
Qallir,Qallir
Qirqisānī,Qirqisānī
Qusṭā b. Lūqā al-Baʿalbakī,Qusṭā b. Lūqā al-Baʿalbakī
R. Pinḥas,R. Pinḥas
R. Ṣemaḥ,R. Ṣemaḥ
"Rachel bat Solomon the scribe, daughter of Donna Sarah","Rachel bat Shelomo the scribe, daughter of Donna Sara"
"Rāfiʿ al-Ḥarīrī, daughter of","Rāfiʿ al-Ḥarīrī, daughter of"
Raḥamīm b. ʿImrān,Raḥamīm b. ʿImrān
Raḥla Naʿmīṣ [bat ...],Raḥla Naʿmīṣ [bat ...]
Ramaḍān the teacher,Ramaḍān the teacher
Rashi,Rashi
Raši,Rashi
Rawʿ al-Funduqānī b. Ḥamūd,Rawʿ al-Funduqānī b. Ḥamūd
"Rebecca bat Solomon the scribe, daughter of Donna Sarah, wife of Moses","Rivqa bat Shelomo the scribe, daughter of Donna Sara, wife of Moshe"
"Reina bat Solomon the scribe, daughter of Donna Sarah","Reina bat Shelomo the scribe, daughter of Donna Sara"
Sa‘īd ibn Hibat Allāh,Sa‘īd ibn Hibat Allāh
Šabbetay b. Caleb,Shabbetay b. Kalev
Šabbetay b. Moses,Shabbetay b. Moshe
Šabbetay Skandarī,Shabbetay Skandarī
Šabbetay the judge b. Abraham,Shabbetay the judge b. Avraham
Ṣadoq b. Josiah,Ṣadoq b. Yoshiyyahu
Ṣadoq b. Nimr he-Ḥaver,Ṣadoq b. Nimr he-Ḥaver
Ṣadoq ha-Levi b. Levi,Ṣadoq ha-Levi b. Levi
Sahl b. Mevasser b. Naḥum,Sahl b. Mevasser b. Naḥum
Sahlān b. Abraham,Sahlān b. Avraham
Sahlān b. Isḥāq,Sahlān b. Isḥāq
Sahlān ha-Aluf b. Abraham he-Ḥaver,Sahlān ha-Aluf b. Avraham he-Ḥaver
Salāma b. [...],Salāma b. [...]
Salāma b. Asad the perfumer,Salāma b. Asad the perfumer
Salāma b. Ibrahim,Salāma b. Ibrahim
Salāma b. Ismaʿīl,Salāma b. Ismaʿīl
Salāma b. Joseph,Salāma b. Yosef
Salāma b. Mūsā b. Isaac,Salāma b. Mūsā b. Yiṣḥaq
Salāma b. Nissim b. Isaac al-Barqī,Salāma b. Nissim b. Yiṣḥaq al-Barqī
Salīḥ b. Bahlūl,Salīḥ b. Bahlūl
Ṣāliḥ b. Bahlūl,Ṣāliḥ b. Bahlūl
Ṣāliḥ b. Barhūn Taherti,Ṣāliḥ b. Barhūn Taherti
Sālim b. Hārūn al-Janāwī,Sālim b. Hārūn al-Janāwī
"Sālim, sister of","Sālim, sister of"
Salmān b. Harūn,Salmān b. Harūn
Salmān b. Hārūn,Salmān b. Hārūn
Salmān b. Ibrāhīm,Salmān b. Ibrāhīm
Salmon b. Yeruham,Salmon b. Yeruham
Salmon b. Yeruḥam,Salmon b. Yeruḥam
Šalom Šabazi,Shalom Shabazi
Šalom Šammaš,Shalom Shammash
Samuel,Shemuʾel
Samuel (Nagid),Shemuʾel (Nagid)
Samuel b. Aaron,Shemuʾel b. Aharon
Samuel b. Abraham,Shemuʾel b. Avraham
Samuel b. Daniel b. ʿAzariah,Shemuʾel b. Dani’el b. ʿAzarya
Samuel b. David Conforte,Shemuʾel b. David Conforte
Samuel b. Ḥalfon the doctor,Shemuʾel b. Ḥalfon the doctor
Samuel b. Ḥananya,Shemuʾel b. Ḥananya
Samuel b. Ḥananya (Nagid),Shemuʾel b. Ḥananya (Nagid)
Samuel b. Ḥofni,Shemuʾel b. Ḥofni
Samuel b. Ḥofni (Gaʾon),Shemuʾel b. Ḥofni (Gaʾon)
Samuel b. Hošaʿana (Third in the Academy),Shemuʾel b. Hoshaʿana (Third in the Academy)
Samuel b. Hošaʿna (Third in the Academy),Shemuʾel b. Hoshaʿna (Third in the Academy)
Samuel b. Ibrahim,Shemuʾel b. Ibrahim
Samuel b. Isaac,Shemuʾel b. Yiṣḥaq
Samuel b. Jacob b. Samuel,Shemuʾel b. Yaʿaqov b. Shemuʾel
Samuel b. Judah ha-Bavli,Shemuʾel b. Yehuda ha-Bavli
Samuel b. Ḵalīfa,Shemuʾel b. Khalīfa
Samuel b. Moses he-Ḥaver,Shemuʾel b. Moshe he-Ḥaver
Samuel b. Saʿadya ha-Levi,Shemuʾel b. Saʿadya ha-Levi
Samuel b. Solomon ha-Levi,Shemuʾel b. Shelomo ha-Levi
Samuel b. ʿEli (Gaʾon),Shemuʾel b. ʿEli (Gaʾon)
Samuel Dimašqī,Shemuʾel Dimashqī
Samuel Gaʾon b. Ḥofni,Shemuʾel Gaʾon b. Ḥofni
Samuel ha-Kohen,Shemuʾel ha-Kohen
Samuel ha-Kohen b. Ḥofni,Shemuʾel ha-Kohen b. Ḥofni
Samuel ha-Levi b. ʿEli (Gaʾon),Shemuʾel ha-Levi b. ʿEli (Gaʾon)
Samuel ha-Nagid,Shemuʾel ha-Nagid
Samuel he-Ḥaver b. Moses,Shemuʾel he-Ḥaver b. Moshe
Samuel he-Ḥaver ha-Meʿulle b. Moses he-Ḥaver,Shemuʾel he-Ḥaver ha-Meʿulle b. Moshe he-Ḥaver
Samuel Jonas Bondi,Shemuʾel Jonas Bondi
Samuel Sijilmasi,Shemuʾel Sijilmasi
Samuel Skandarī,Shemuʾel Skandarī
Samuel the servant,Shemuʾel the servant
Samuel the Third,Shemuʾel the Third
Samuel the Third b. Hošaʿna,Shemuʾel the Third b. Hoshaʿna
Samuel פוחימה,Shemuʾel פוחימה
Sar Šalom ha-Levi b. Moses ha-Levi,Sar Shalom ha-Levi b. Moshe ha-Levi
Sarah bat Maymūn,Sara bat Maymūn
Sason b. Samuel,Sason b. Shemuʾel
Saul ha-Levi,Shaʾul ha-Levi
Saʿadya,Saʿadya
Saʿadya (b. Beraḵot?),Saʿadya (b. Berakhot?)
Saʿadya b. Abraham,Saʿadya b. Avraham
Saʿadya b. Abraham b. Sason,Saʿadya b. Avraham b. Sason
Saʿadya b. Beraḵot,Saʿadya b. Berakhot
Saʿadya b. Nathan ha-Kohen,Saʿadya b. Natan ha-Kohen
Saʿadya Gaon,Saʿadya Gaon
Saʿadya Gaʾon,Saʿadya Gaʾon
Saʿadya the cantor b. Ṣedaqa,Saʿadya the cantor b. Ṣedaqa
Saʿadya the student,Saʿadya the student
Saʿadya's Tafsir,Saʿadya's Tafsir
Saʿd,Saʿd
Saʿdān b. Ṯābit al-Baḡdādī,Saʿdān b. Thābit al-Baghdādī
Saʿīd ibn Hibat Allāh,Saʿīd ibn Hibat Allāh
Ṣedaqa,Ṣedaqa
Ṣedaqa b. Isaac,Ṣedaqa b. Yiṣḥaq
Ṣedaqa b. Joseph,Ṣedaqa b. Yosef
Ṣedaqa b. Ṯamar,Ṣedaqa b. Thamar
Ṣedaqa he-Ḥaver,Ṣedaqa he-Ḥaver
Ṣedaqa Šāmī,Ṣedaqa Shāmī
Šela b. Mevasser,Shela b. Mevasser
Šela b. Mevasser (judge),Shela b. Mevasser (judge)
Šela b. Naḥum,Shela b. Naḥum
Šela ha-Kohen b. Ṣadūq b. Maṣliaḥ b. Z[...],Shela ha-Kohen b. Ṣadūq b. Maṣliaḥ b. Z[...]
Šem Tov b. Šapruṭ,Shem Tov b. Shapruṭ
Ṣemaḥ הבהב,Ṣemaḥ הבהב
Šemarya b. Elḥanan,Shemarya b. Elḥanan
Šemarya ha-Kohen b. Aaron,Shemarya ha-Kohen b. Aharon
Šerira b. Ḥananya (Gaʾon),Sherira b. Ḥananya (Gaʾon)
Šerira Gaʾon,Sherira Gaʾon
Sibāʿ,Sibāʿ
Simeon b. Megas,Simeon b. Megas
Simeon b. Saul b. Israel ha-Ṭulayṭulī,Simeon b. Shaʾul b. Yisraʾel ha-Ṭulayṭulī
Simeon b. Ṣemaḥ Duran,Simeon b. Ṣemaḥ Duran
Simeon Qayyara,Simeon Qayyara
Simeon Qayyāra,Simeon Qayyāra
Simḥa ha-Kohen,Simḥa ha-Kohen
Simḥa Kohen,Simḥa Kohen
"Simḥa Kohen, son in law of Elijah the judge","Simḥa Kohen, son in law of Eliyyahu the judge"
"Simḥa, son in law of Elijah the judge","Simḥa, son in law of Eliyyahu the judge"
Sitt al-ʿAšīr,Sitt al-ʿAshīr
Sitt Rayḥān,Sitt Rayḥān
Sitt Ṣawāb,Sitt Ṣawāb
Solomon,Shelomo
Solomon ‘the Lesser’,Shelomo ‘the Lesser’
Solomon (teacher),Shelomo (teacher)
Solomon Agostaro (father of Nissim Agostaro),Shelomo Agostaro (father of Nissim Agostaro)
Solomon al-Ṭawīl,Shelomo al-Ṭawīl
Solomon b. […],Shelomo b. […]
Solomon b. Abraham,Shelomo b. Avraham
Solomon b. Elijah,Shelomo b. Eliyyahu
Solomon b. Elijah the judge,Shelomo b. Eliyyahu the judge
Solomon b. Ḥayyim b. Solomon,Shelomo b. Ḥayyim b. Shelomo
Solomon b. Judah,Shelomo b. Yehuda
Solomon b. Judah (Gaʾon),Shelomo b. Yehuda (Gaʾon)
Solomon b. Judah Gaʾon,Shelomo b. Yehuda Gaʾon
Solomon b. Judah ha-Bavli,Shelomo b. Yehuda ha-Bavli
Solomon b. Judah Ibn Gabirol,Shelomo b. Yehuda Ibn Gabirol
Solomon b. Mawhūb,Shelomo b. Mawhūb
Solomon b. Maymūn,Shelomo b. Maymūn
Solomon b. Mevoraḵ,Shelomo b. Mevorakh
Solomon b. Meʾir Roš ha-Seder,Shelomo b. Meʾir Rosh ha-Seder
Solomon b. Moses b. Isaac Safāquṣī,Shelomo b. Moshe b. Yiṣḥaq Safāquṣī
Solomon b. Nathan,Shelomo b. Natan
Solomon b. Nathan (of Sijilmasa),Shelomo b. Natan (of Sijilmasa)
Solomon b. Nathan al-Sijilmāsī,Shelomo b. Natan al-Sijilmāsī
Solomon b. Nathan al-Sijilmāsī al-Jabalī,Shelomo b. Natan al-Sijilmāsī al-Jabalī
Solomon b. Ṣaqbel,Shelomo b. Ṣaqbel
Solomon b. Ṣemaḥ,Shelomo b. Ṣemaḥ
Solomon b. Šemarya (Karaite teacher),Shelomo b. Shemarya (Karaite teacher)
Solomon b. Sulaymān,Shelomo b. Sulaymān
Solomon b. Yeḥiʾel b. Isaac ha-Ṣarfati,Shelomo b. Yeḥiʾel b. Yiṣḥaq ha-Ṣarfati
Solomon b. Yešuʿa,Shelomo b. Yeshuʿa
Solomon Gaʾon,Shelomo Gaʾon
Solomon ha-[...],Shelomo ha-[...]
Solomon ha-Levi b. Saʿadya,Shelomo ha-Levi b. Saʿadya
Solomon ha-Ṣaʿir b. Judah,Shelomo ha-Ṣaʿir b. Yehuda
Solomon Ḥayyim Abraham Chizana,Shelomo Ḥayyim Avraham Chizana
Solomon ibn Gabirol,Shelomo ibn Gabirol
Solomon Ibn Ṣaqbel.,Shelomo Ibn Ṣaqbel.
Solomon Šizana Kunpaniya,Shelomo Shizana Kunpaniya
Solomon Sulaymān,Shelomo Sulaymān
Solomon Sulaymān al-Sanjārī,Shelomo Sulaymān al-Sanjārī
Solomon Sulaymān al-Sanjārī (payṭan),Shelomo Sulaymān al-Sanjārī (payṭan)
Solomon Sulaymān al-Sinjari,Shelomo Sulaymān al-Sinjari
Solomon Sulaymān al-Sinjārī,Shelomo Sulaymān al-Sinjārī
Solomon the teacher,Shelomo the teacher
Stephanus son of Basilius,Stephanus son of Basilius
Sulaymān,Sulaymān
Sulaymān (beadle),Sulaymān (beadle)
Sulaymān b. Samḥūn Ibn al-Sahl,Sulaymān b. Samḥūn Ibn al-Sahl
Surūr,Surūr
Surūr b. Ismaʿīl the dyer,Surūr b. Ismaʿīl the dyer
Ṯābit Ibn Qurra,Thābit Ibn Qurra
Ṯabit ibn Qurra al-Ḥarrānī,Thabit ibn Qurra al-Ḥarrānī
Taherti,Taherti
Ṭāhir b. Maḥfūẓ (beadle),Ṭāhir b. Maḥfūẓ (beadle)
Ṭahor b. Abraham,Ṭahor b. Avraham
Tamīm b. Joseph,Tamīm b. Yosef
Tamim he-Ḥaver b. Ṭoviyya,Tamim he-Ḥaver b. Ṭoviyya
Tanḥum b. Joseph ha-Yerušalmi,Tanḥum b. Yosef ha-Yerushalmi
Tanḥum b. Joseph Yerušalmi,Tanḥum b. Yosef Yerushalmi
Tanḥum Solomon,Tanḥum Shelomo
Ṭoviyya,Ṭoviyya
Ṭoviyya b. Daniel,Ṭoviyya b. Dani’el
Ṭoviyya b. Elʿazar,Ṭoviyya b. Elʿazar
Ṭoviyya b. Moses,Ṭoviyya b. Moshe
Ṭoviyya b. ʿEli,Ṭoviyya b. ʿEli
Ṭoviyya b. ʿEli ha-Kohen,Ṭoviyya b. ʿEli ha-Kohen
Ṭoviyya ha-Kohen b. Judah b. Ṭoviyyahu,Ṭoviyya ha-Kohen b. Yehuda b. Ṭoviyyahu
Ṭoviyya ha-Kohen b. ʿEli,Ṭoviyya ha-Kohen b. ʿEli
Ṭoviyyahu b. ʿEli ha-Kohen,Ṭoviyyahu b. ʿEli ha-Kohen
Ṭoviyyahu ha-Kohen b. ʿEli he-Ḥaver,Ṭoviyyahu ha-Kohen b. ʿEli he-Ḥaver
Umm Abū l-Munā,Umm Abū l-Munā
Umm al-Yaman,Umm al-Yaman
Umm Daʾūd,Umm Daʾūd
Umm Ismaʿīl,Umm Ismaʿīl
Umm Ḵalaf,Umm Khalaf
Umm Makīn,Umm Makīn
Umm Sālim,Umm Sālim
Umm Sitt al-Nās,Umm Sitt al-Nās
Wahb b. Barakāt,Wahb b. Barakāt
Yaḥyā (?) M[...],Yaḥyā (?) M[...]
Yaḥya b. Daʾūd (Ḥayyūj),Yaḥya b. Daʾūd (Ḥayyūj)
Yaḥyā b. Mūsā al-Majjānī,Yaḥyā b. Mūsā al-Majjānī
Yaḥyā b. Saʿāda,Yaḥyā b. Saʿāda
Yaḥyā b. Yaʿīš,Yaḥyā b. Yaʿīsh
Yaḥyā b. ʿAmmār,Yaḥyā b. ʿAmmār
Yaḥyā b. ʿEli Kohen Fāsī,Yaḥyā b. ʿEli Kohen Fāsī
Yannai,Yannai
Yaʿīš b. Sahl al-Nahrawānī the cantor,Yaʿīsh b. Sahl al-Nahrawānī the cantor
Yefet b. David,Yefet b. David
Yefet b. David b. Šeḵanya,Yefet b. David b. Shekhanya
Yefet b. Eli,Yefet b. Eli
Yefet b. Ḥalfon,Yefet b. Ḥalfon
Yefet b. Manasseh,Yefet b. Menashshe
Yefet b. Manasseh al-Qaṭāʾif,Yefet b. Menashshe al-Qaṭāʾif
Yefet b. Manasseh b. al-Qaṭāʾif,Yefet b. Menashshe b. al-Qaṭāʾif
Yefet b. Manasseh b. al-Qaṭāʾīf,Yefet b. Menashshe b. al-Qaṭāʾīf
Yefet b. Manasseh Ibn al-Qaṭā’if,Yefet b. Menashshe Ibn al-Qaṭā’if
Yefet b. Manasseh Ibn al-Qaṭāʾif,Yefet b. Menashshe Ibn al-Qaṭāʾif
Yefet b. Mawhūb b. Faraj,Yefet b. Mawhūb b. Faraj
Yefet b. Samuel,Yefet b. Shemuʾel
Yefet b. Šela,Yefet b. Shela
Yefet b. Solomon ha-Levi,Yefet b. Shelomo ha-Levi
Yefet b. ʿAmram al-Jāzfīnī,Yefet b. ʿAmram al-Jāzfīnī
"Yefet b. ʿAmram b. Moses, known as Ibn al-Jāzifīnī","Yefet b. ʿAmram b. Moshe, known as Ibn al-Jāzifīnī"
Yefet b. ʿEli,Yefet b. ʿEli
Yefet b. ʿEli the cantor Ibn al-Jāzfīnī,Yefet b. ʿEli the cantor Ibn al-Jāzfīnī
Yefet ha-Levi b. Ṭoviyya ha-Bavli (Ḥasan b. Ṭayyib al-Baḡdādī al-Nīlī),Yefet ha-Levi b. Ṭoviyya ha-Bavli (Ḥasan b. Ṭayyib al-Baghdādī al-Nīlī)
Yefet the poet,Yefet the poet
Yefet the teacher,Yefet the teacher
Yeḥiʾel b. Elyaqim,Yeḥiʾel b. Elyaqim
Yeḥiʾel b. Isaac,Yeḥiʾel b. Yiṣḥaq
Yeḥiʾel b. Isaac ha-Ṣarfati,Yeḥiʾel b. Yiṣḥaq ha-Ṣarfati
Yehiʾel the Frenchman (teacher),Yehiʾel the Frenchman (teacher)
Yeḥiʾel the judge b. Elyaqim,Yeḥiʾel the judge b. Elyaqim
Yehošuaʿ [...],Yehoshuaʿ [...]
Yehuday Gaʾon,Yehuday Gaʾon
Yešuʿa b. Abraham,Yeshuʿa b. Avraham
Yešuʿa b. Ismaʿīl,Yeshuʿa b. Ismaʿīl
Yešuʿa b. Ismāʿīl,Yeshuʿa b. Ismāʿīl
Yešuʿa b. Ismaʿīl al-Makmūrī,Yeshuʿa b. Ismaʿīl al-Makmūrī
Yešuʿa b. Ismaʿīl al-Maḵmūrī,Yeshuʿa b. Ismaʿīl al-Makhmūrī
Yešuʿa b. Jacob,Yeshuʿa b. Yaʿaqov
Yešuʿa b. Joseph,Yeshuʿa b. Yosef
Yešuʿa b. Judah,Yeshuʿa b. Yehuda
Yešuʿa b. Judah (Abū l-Faraj Furqān ibn Asad),Yeshuʿa b. Yehuda (Abū l-Faraj Furqān ibn Asad)
Yešuʿa b. Mevoraḵ (known as Ibn al-Qāš),Yeshuʿa b. Mevorakh (known as Ibn al-Qāsh)
Yešuʿa b. Mevoraḵ al-Iskandarānī,Yeshuʿa b. Mevorakh al-Iskandarānī
Yešuʿa b. Yaḵin,Yeshuʿa b. Yakhin
Yešuʿa ha-Kohen b. Abraham ha-Kohen (cantor),Yeshuʿa ha-Kohen b. Avraham ha-Kohen (cantor)
Yešuʿa ha-Kohen b. Jacob,Yeshuʿa ha-Kohen b. Yaʿaqov
Yešuʿa ha-Kohen b. Joseph the judge,Yeshuʿa ha-Kohen b. Yosef the judge
Yešuʿa ha-Kohen ha-Mumḥe b. Yaʿir he-Ḥaver,Yeshuʿa ha-Kohen ha-Mumḥe b. Yaʿir he-Ḥaver
Yešuʿa ha-Kohen ha-Qaṭan b. Joseph the judge,Yeshuʿa ha-Kohen ha-Qaṭan b. Yosef the judge
Yešuʿa ha-Mumḥe,Yeshuʿa ha-Mumḥe
Yešuʿa he-Ḥaver b. Ṣabḡa,Yeshuʿa he-Ḥaver b. Ṣabgha
Yešuʿa Qadub[...],Yeshuʿa Qadub[...]
Yešuʿa the teacher b. Abraham,Yeshuʿa the teacher b. Avraham
Yešuʿa גאון החכמים,Yeshuʿa גאון החכמים
Yiftaḥ ha-Kohen b. Yešuaʿ ha-Kohen,Yiftaḥ ha-Kohen b. Yeshuaʿ ha-Kohen
Yišay b. Solomon,Yishay b. Shelomo
Yoḥanan b. Solomon,Yoḥanan b. Shelomo
Yoḥanan ha-Kohen (payṭan),Yoḥanan ha-Kohen (payṭan)
Yose b. Yose,Yose b. Yose
Yūḥannā b. Mīḵāʾīl,Yūḥannā b. Mīkhāʾīl
Yūsuf b. Ismāʿīl,Yūsuf b. Ismāʿīl
Zakkar b. ʿAmmar,Zakkar b. ʿAmmar
Zakkay b. Moses,Zakkay b. Moshe
Zakkay b. Yedidyahu (Nasi),Zakkay b. Yedidyahu (Nasi)
Zayn al-Dīn,Zayn al-Dīn
Zechariah b. Barakʾel,Zekharya b. Barakʾel
Zechariah b. Ḥayyim,Zekharya b. Ḥayyim
Zechariah b. Jacob Ibn al-Šāma,Zekharya b. Yaʿaqov Ibn al-Shāma
Zechariah h[...],Zekharya h[...]
Zechariah ha-Levi he-Ḥaver b. Moses,Zekharya ha-Levi he-Ḥaver b. Moshe
Zikrī b. Ḥananel,Zikrī b. Ḥananel
ʿAbdalla b. Salām,ʿAbdalla b. Salām
ʿAbdallāh Yaftūḥ ibn Yūsuf al-Isrāʾilī al-Mutaṭabbib,ʿAbdallāh Yaftūḥ ibn Yūsuf al-Isrāʾilī al-Mutaṭabbib
ʿAbdīshūʿ Ibn Bahrīz,ʿAbdīshūʿ Ibn Bahrīz
ʿAbdulla,ʿAbdulla
ʿAlī Ibn Sulaymān,ʿAlī Ibn Sulaymān
ʿAlī ibn ʿAbbās Al-Majūsī,ʿAlī ibn ʿAbbās Al-Majūsī
ʿAlī ibn ʿIsa,ʿAlī ibn ʿIsa
ʿAlī ibn ʿĪsā,ʿAlī ibn ʿĪsā
ʿAlī ibn ʿĪsā’,ʿAlī ibn ʿĪsā’
ʿAllān b. Ḥassūn,ʿAllān b. Ḥassūn
ʿAlluš the beadle,ʿAllush the beadle
ʿAlvan b. Abraham,ʿAlvan b. Avraham
ʿAmram,ʿAmram
